FileName,FileTime,Integration time,Analog gain,Digital gain,AE Mean,AEConverged
A3A99130.JPG,2026-06-23 14:32:51,376,4,192,3,N
A3A9C700.JPG,2026-06-23 14:47:12,376,4,192,3,N
A3A9C710.JPG,2026-06-23 14:47:13,376,4,192,2,N
A3AA32B0.JPG,2026-06-23 15:15:55,376,4,192,2,N
A3AA6890.JPG,2026-06-23 15:30:17,376,4,192,2,N
A3AA9E60.JPG,2026-06-23 15:44:38,376,4,192,2,N
A3AAD430.JPG,2026-06-23 15:58:59,376,4,192,2,N
A3AB0A10.JPG,2026-06-23 16:13:21,376,4,192,3,N
A3AB3FE0.JPG,2026-06-23 16:27:42,376,4,192,3,N
A3AB75B0.JPG,2026-06-23 16:42:03,376,4,192,2,N
A3ABAB90.JPG,2026-06-23 16:56:25,376,4,192,3,N
A3ABE160.JPG,2026-06-23 17:10:46,376,4,192,3,N
A3AC1730.JPG,2026-06-23 17:25:07,376,4,192,3,N
A3AC4D00.JPG,2026-06-23 17:39:28,376,4,192,3,N
A3AC82D0.JPG,2026-06-23 17:53:49,376,4,192,2,N
A3ACB8A0.JPG,2026-06-23 18:08:10,376,4,192,3,N
A3ACEE80.JPG,2026-06-23 18:22:32,376,4,192,3,N
A3AD2450.JPG,2026-06-23 18:36:53,376,4,192,3,N
A3AD5A20.JPG,2026-06-23 18:51:14,376,4,192,11,N
A3AD8FF0.JPG,2026-06-23 19:05:35,376,4,131,74,Y
A3ADC5D0.JPG,2026-06-23 19:19:57,376,4,64,86,Y
A3ADFBA0.JPG,2026-06-23 19:34:18,376,2,66,74,Y
A3AE3170.JPG,2026-06-23 19:48:39,376,1,67,76,Y
A3AE6740.JPG,2026-06-23 20:03:00,376,0,65,86,Y
A3AE9D10.JPG,2026-06-23 20:17:21,376,0,67,75,Y
A3AED2E0.JPG,2026-06-23 20:31:42,376,0,64,65,Y
A3AF08B0.JPG,2026-06-23 20:46:03,376,0,64,80,Y
A3AF08C0.JPG,2026-06-23 20:46:04,188,0,64,82,Y
A3AF3EA0.JPG,2026-06-23 21:00:26,62,0,64,73,Y
A3AF7470.JPG,2026-06-23 21:14:47,66,0,64,59,Y
A3AFAA40.JPG,2026-06-23 21:29:08,81,0,64,65,Y
A3AFE020.JPG,2026-06-23 21:43:30,45,0,64,57,Y
A3B015F0.JPG,2026-06-23 21:57:51,25,0,64,73,Y
A3B04BC0.JPG,2026-06-23 22:12:12,20,0,64,72,Y
A3B081A0.JPG,2026-06-23 22:26:34,44,0,64,79,Y
A3B0B770.JPG,2026-06-23 22:40:55,48,0,64,67,Y
A3B0ED50.JPG,2026-06-23 22:55:17,62,0,64,63,Y
A3B12320.JPG,2026-06-23 23:09:38,55,0,64,83,Y
A3B158F0.JPG,2026-06-23 23:23:59,24,0,64,74,Y
